timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688265977802,14484,Create User,200,OK,DB 2-2,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14484,0,279
1688265977862,14426,Create User,200,OK,DB 2-5,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14426,0,219
1688265978001,14328,Create User,200,OK,DB 2-12,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14328,0,196
1688265978241,14097,Create User,200,OK,DB 2-24,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14097,0,217
1688265978302,14074,Create User,200,OK,DB 2-27,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14074,0,209
1688265977922,14455,Create User,200,OK,DB 2-8,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14455,0,209
1688265978022,14395,Create User,200,OK,DB 2-13,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14395,0,205
1688265978362,14098,Create User,200,OK,DB 2-30,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14098,0,207
1688265978702,13764,Create User,200,OK,DB 2-47,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,13764,0,202
1688265992286,270,Create Magazine,200,OK,DB 2-2,text,true,,253,358,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_magazine,270,0,0
1688265992417,263,Create Magazine,200,OK,DB 2-13,text,true,,253,358,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_magazine,263,0,0
1688265978342,14701,Create User,200,OK,DB 2-29,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,14701,0,201
1688265992556,568,Create Subscription,200,OK,DB 2-2,text,true,,257,445,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_subscription,568,0,0
1688265977982,15150,Create User,200,OK,DB 2-11,text,true,,248,418,50,200,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,15150,0,213
