timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688267964365,512,Create User,200,OK,DB 2-1,text,true,,248,418,74,291,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,512,0,247
1688267964407,477,Create User,200,OK,DB 2-7,text,true,,248,418,75,295,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,477,0,215
1688267964414,473,Create User,200,OK,DB 2-8,text,true,,248,418,75,296,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,473,0,218
1688267964455,511,Create User,200,OK,DB 2-14,text,true,,248,418,87,337,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,511,0,205
1688267964434,551,Create User,200,OK,DB 2-11,text,true,,248,418,89,345,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,551,0,209
1688267964469,525,Create User,200,OK,DB 2-16,text,true,,248,418,90,349,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,525,0,213
1688267964532,480,Create User,200,OK,DB 2-25,text,true,,248,418,93,359,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,480,0,208
1688267964504,538,Create User,200,OK,DB 2-21,text,true,,248,418,98,375,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,538,0,196
1688267964547,496,Create User,200,OK,DB 2-27,text,true,,248,418,98,375,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,496,0,207
1688267964379,689,Create User,200,OK,DB 2-3,text,true,,248,418,101,387,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,689,0,238
1688267964588,483,Create User,200,OK,DB 2-33,text,true,,248,418,102,389,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,483,0,195
1688267964392,707,Create User,200,OK,DB 2-5,text,true,,248,418,106,403,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/create_user,707,0,229
