timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1688267012175,416,/static,200,OK,Static 1-7,text,true,,720,163,27,262,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,416,utf-8,1,0,DESKTOP-JMD9GU4,0,211
1688267012096,500,/static,200,OK,Static 1-3,text,true,,720,163,27,264,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,500,utf-8,1,0,DESKTOP-JMD9GU4,0,295
1688267012076,567,/static,200,OK,Static 1-2,text,true,,720,163,30,285,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,567,utf-8,1,0,DESKTOP-JMD9GU4,0,322
1688267012057,591,/static,200,OK,Static 1-1,text,true,,720,163,30,287,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,591,utf-8,1,0,DESKTOP-JMD9GU4,0,336
1688267012157,528,/static,200,OK,Static 1-6,text,true,,720,163,32,302,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,528,utf-8,1,0,DESKTOP-JMD9GU4,0,235
1688267012337,472,/static,200,OK,Static 1-15,text,true,,720,163,38,361,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,472,utf-8,1,0,DESKTOP-JMD9GU4,0,218
1688267012216,593,/static,200,OK,Static 1-9,text,true,,720,163,38,361,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,593,utf-8,1,0,DESKTOP-JMD9GU4,0,196
1688267012197,612,/static,200,OK,Static 1-8,text,true,,720,163,38,361,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,612,utf-8,1,0,DESKTOP-JMD9GU4,0,207
1688267012117,694,/static,200,OK,Static 1-4,text,true,,720,163,38,362,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,694,utf-8,1,0,DESKTOP-JMD9GU4,0,282
1688267012237,575,/static,200,OK,Static 1-10,text,true,,720,163,38,362,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,575,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688267012138,791,/static,200,OK,Static 1-5,text,true,,720,163,44,414,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,791,utf-8,1,0,DESKTOP-JMD9GU4,0,258
1688267012357,572,/static,200,OK,Static 1-16,text,true,,720,163,44,416,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,572,utf-8,1,0,DESKTOP-JMD9GU4,0,211
1688267012376,554,/static,200,OK,Static 1-17,text,true,,720,163,44,416,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,554,utf-8,1,0,DESKTOP-JMD9GU4,0,211
1688267012417,563,/static,200,OK,Static 1-19,text,true,,720,163,47,436,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,563,utf-8,1,0,DESKTOP-JMD9GU4,0,196
1688267012276,1068,/static,200,OK,Static 1-12,text,true,,720,163,50,447,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1068,utf-8,1,0,DESKTOP-JMD9GU4,0,210
1688267012318,1027,/static,200,OK,Static 1-14,text,true,,720,163,50,447,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1027,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688267012477,874,/static,200,OK,Static 1-22,text,true,,720,163,50,447,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,874,utf-8,1,0,DESKTOP-JMD9GU4,0,196
1688267012256,1748,/static,200,OK,Static 1-11,text,true,,720,163,50,411,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1748,utf-8,1,0,DESKTOP-JMD9GU4,0,200
1688267012297,1711,/static,200,OK,Static 1-13,text,true,,720,163,50,411,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1711,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688267012435,1744,/static,200,OK,Static 1-20,text,true,,720,163,50,406,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1744,utf-8,1,0,DESKTOP-JMD9GU4,0,206
1688267012517,1663,/static,200,OK,Static 1-24,text,true,,720,163,50,406,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1663,utf-8,1,0,DESKTOP-JMD9GU4,0,195
1688267012457,1728,/static,200,OK,Static 1-21,text,true,,720,163,50,404,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1728,utf-8,1,0,DESKTOP-JMD9GU4,0,210
1688267012776,1625,/static,200,OK,Static 1-37,text,true,,720,163,50,398,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1625,utf-8,1,0,DESKTOP-JMD9GU4,0,200
1688267012537,1966,/static,200,OK,Static 1-25,text,true,,720,163,50,395,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1966,utf-8,1,0,DESKTOP-JMD9GU4,0,195
1688267012496,2012,/static,200,OK,Static 1-23,text,true,,720,163,50,395,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,2012,utf-8,1,0,DESKTOP-JMD9GU4,0,212
1688267012917,1838,/static,200,OK,Static 1-44,text,true,,720,163,50,383,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,1838,utf-8,1,0,DESKTOP-JMD9GU4,0,196
